Aar;erMann;Kommune;KommNr;Fylke;FylkeNum;BoShHN;BoShHNnum;BoHF;BoHFnum;BoRHF;boRHFnum;Bydel;BydelNum;AntInnb
2007;Kvinner;Halden;101;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;14152
2007;Kvinner;Moss;104;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;14814
2007;Kvinner;Sarpsborg;105;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;25701
2007;Kvinner;Fredrikstad;106;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;36755
2007;Kvinner;Hvaler;111;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;1952
2007;Kvinner;Aremark;118;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;715
2007;Kvinner;Marker;119;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;1720
2007;Kvinner;Rømskog;121;Østfold;1;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;311
2007;Kvinner;Trøgstad;122;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;2529
2007;Kvinner;Spydeberg;123;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;2538
2007;Kvinner;Askim;124;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;7352
2007;Kvinner;Eidsberg;125;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;5310
2007;Kvinner;Skiptvet;127;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;1722
2007;Kvinner;Rakkestad;128;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;3791
2007;Kvinner;Råde;135;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;3415
2007;Kvinner;Rygge;136;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;7026
2007;Kvinner;Våler;137;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;2084
2007;Kvinner;Hobøl;138;Østfold;1;;;Østfold;14;Boomr Helse Sør-Øst RHF;4;;;2287
2007;Kvinner;Vestby;211;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;6945
2007;Kvinner;Ski;213;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;13799
2007;Kvinner;Ås;214;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;7600
2007;Kvinner;Frogn;215;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;7257
2007;Kvinner;Nesodden;216;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;8595
2007;Kvinner;Oppegård;217;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;12289
2007;Kvinner;Bærum;219;Akershus;2;;;Vestre Viken;20;Boomr Helse Sør-Øst RHF;4;;;55243
2007;Kvinner;Asker;220;Akershus;2;;;Vestre Viken;20;Boomr Helse Sør-Øst RHF;4;;;26871
2007;Kvinner;Aurskog-Høland;221;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;6944
2007;Kvinner;Sørum;226;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;7056
2007;Kvinner;Fet;227;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;4930
2007;Kvinner;Rælingen;228;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;7617
2007;Kvinner;Enebakk;229;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;4869
2007;Kvinner;Lørenskog;230;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;15979
2007;Kvinner;Skedsmo;231;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;23284
2007;Kvinner;Nittedal;233;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;10177
2007;Kvinner;Gjerdrum;234;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;2654
2007;Kvinner;Ullensaker;235;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;13508
2007;Kvinner;Nes;236;Akershus;2;;;Innlandet;19;Boomr Helse Sør-Øst RHF;4;;;9189
2007;Kvinner;Eidsvoll;237;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;9944
2007;Kvinner;Nannestad;238;Akershus;2;;;Akershus;15;Boomr Helse Sør-Øst RHF;4;;;5293
